ID	compound	source	formula
786	27844	KEGG COMPOUND	C10H12N5O6P
787	27652	KEGG COMPOUND	C9H12N3O7P
788	28181	KEGG COMPOUND	C10H12N5O7P
789	28637	KEGG COMPOUND	C9H11N2O8P
790	18271	KEGG COMPOUND	C5H8O6PR
793	18414	KEGG COMPOUND	C8H8O3
797	29010	KEGG COMPOUND	C12H11NO2
798	835	KEGG COMPOUND	C10H17N3O11P2
799	836	KEGG COMPOUND	C10H18N3O14P3
801	17955	KEGG COMPOUND	C5H11O9P2R
802	16516	KEGG COMPOUND	C5H12O12P3R
805	16035	KEGG COMPOUND	C15H12O5
813	18289	KEGG COMPOUND	C9H7NO
814	15847	KEGG COMPOUND	C9H16O9
815	28517	KEGG COMPOUND	C12H10O3
816	27381	KEGG COMPOUND	C12H10O4
818	855	KEGG COMPOUND	C20H15N3O2
819	28970	KEGG COMPOUND	C12H10O2
821	28410	KEGG COMPOUND	C14H12Cl2O
823	860	KEGG COMPOUND	C17H20O3
824	15718	KEGG COMPOUND	C13H10O5
825	18380	KEGG COMPOUND	C68H129N2O20P
826	29056	KEGG COMPOUND	C68H130N2O23P2
827	864	KEGG COMPOUND	C7H9NO4
829	17185	KEGG COMPOUND	C7H8O3
831	16683	KEGG COMPOUND	C5H5NO3
832	28119	KEGG COMPOUND	C12H4Cl4O2
833	16942	KEGG COMPOUND	C34H66NO12P
834	16266	KEGG COMPOUND	C43H73O6P
835	17720	KEGG COMPOUND	C3H8O10P2
839	18383	KEGG COMPOUND	C3H8N2O2
840	15941	KEGG COMPOUND	C7H8O4
841	18042	KEGG COMPOUND	C7H7NO4
842	16965	KEGG COMPOUND	C15H12O8
843	46745	KEGG COMPOUND	C14H9Cl5O2
844	15689	KEGG COMPOUND	C5H10O4
845	882	KEGG COMPOUND	C6H12O4
846	28979	KEGG COMPOUND	C12H9ClO2
847	16725	KEGG COMPOUND	C10H12O4
848	18026	KEGG COMPOUND	C7H6O4
849	17828	KEGG COMPOUND	C8H7NO2
850	18404	KEGG COMPOUND	C7H8O2
851	888	KEGG COMPOUND	C3H8O3S3
852	15590	KEGG COMPOUND	C6H10O5
854	891	KEGG COMPOUND	C3H3O2R
857	894	KEGG COMPOUND	C10H4Br3ClN2O
858	28989	KEGG COMPOUND	C6H5Cl3O
859	28520	KEGG COMPOUND	C6H3Cl3O
860	27903	KEGG COMPOUND	C8H5Cl3O3
861	28755	KEGG COMPOUND	C6H3Cl3O
863	17811	KEGG COMPOUND	C6H10O6
864	901	KEGG COMPOUND	C10H10O4
865	902	KEGG COMPOUND	C4H2O4R2
868	16106	KEGG COMPOUND	C6H4Cl2O4
869	17365	KEGG COMPOUND	C6H4Cl2O4
870	30748	KEGG COMPOUND	C7H4Cl2O2
871	15470	KEGG COMPOUND	C28H38Cl2N7O17P3S
872	16738	KEGG COMPOUND	C6H4Cl2O
873	28854	KEGG COMPOUND	C8H6Cl2O3
874	27900	KEGG COMPOUND	C5H8N4O2
875	28134	KEGG COMPOUND	C3H4N4O2
878	915	KEGG COMPOUND	C7H10O6
879	16489	KEGG COMPOUND	C6H4N4O2
880	27840	KEGG COMPOUND	C8H11N
887	17244	KEGG COMPOUND	C9H9NO3
