file001_18S_clip	file002_18S_clip	file003_18S_clip	file004_18S_clip	file005_18S_clip	file006_18S_clip	file007_18S_clip	file008_18S_clip	file009_18S_clip	file010_18S_clip	file011_18S_clip	file012_18S_clip	file013_18S_clip	file014_18S_clip	file015_18S_clip	file016_18S_clip	file017_18S_clip	file018_18S_clip	file019_18S_clip	file020_18S_clip	file021_18S_clip	file022_18S_clip	file023_18S_clip	file024_18S_clip	file025_18S_clip	file026_18S_clip	file027_18S_clip	file028_18S_clip	file029_18S_clip	file030_18S_clip	file031_18S_clip	file032_18S_clip
asv82	134	1067	2	0	26	48	432	0	0	0	0	5	245	0	205	373	3	47	0	0	1645	0	0	304	0	624	0	3	0	0	23	0
asv83	705	15	63	0	298	0	23	0	186	347	227	187	22	1596	2	44	532	72	107	0	11	87	1	1	0	16	0	567	0	0	70	0
asv84	416	12	42	0	89	11	964	0	142	229	235	150	33	1424	10	30	321	184	93	0	55	102	1	1	0	15	0	516	0	0	44	0
asv85	603	26	38	0	66	12	814	0	47	24	38	151	470	157	35	105	62	2139	50	1	89	43	0	0	1	81	0	35	0	0	21	1
asv86	22	148	14	0	403	428	157	0	93	168	163	240	195	56	114	900	109	315	150	1	413	139	1	30	0	199	1	119	0	0	246	0
asv87	0	0	3	0	0	1	1	1	1	1	1	1	2	1	0	4	1	0	0	0	0	0	0	2	0	0	0	0	4800	0	0	0
asv88	1	817	0	0	16	324	505	0	1	1	0	0	22	13	194	0	6	0	0	0	660	0	0	1690	0	519	0	0	0	0	27	0
asv89	23	603	15	0	44	762	394	0	8	20	5	13	153	63	114	193	44	85	9	0	509	5	0	1106	0	359	0	30	0	0	60	0
asv90	1	28	0	0	102	13	914	0	13	15	0	1	5	43	23	0	47	0	0	0	185	0	1	3090	0	75	0	0	0	0	38	0
asv91	0	495	0	0	6	188	316	0	0	3	19	0	2	5	329	0	6	0	0	0	883	0	0	1484	0	720	0	0	0	0	80	0
asv92	421	82	3	0	96	12	1028	0	6	4	18	9	221	14	43	64	11	1690	19	0	232	13	0	96	0	132	0	14	0	0	34	0
asv93	0	179	1	2	3	272	902	0	1	10	2	2	2	8	111	0	7	0	0	0	687	0	0	1563	0	487	1	1	0	0	1	0
asv94	1	824	0	0	77	433	408	0	8	10	0	0	0	29	107	0	17	1	0	0	386	1	3	1470	0	230	0	0	0	0	44	0
asv95	11	84	129	0	181	259	185	0	194	166	219	195	405	83	77	350	116	200	362	0	129	329	0	2	0	58	0	164	0	0	142	0
asv96	284	20	0	0	11	17	1549	0	0	3	0	4	246	13	42	27	33	1439	2	0	175	0	0	48	1	103	0	0	0	0	21	0
asv97	0	406	2	0	8	119	2050	2	3	0	1	1	0	12	71	1	11	5	1	0	338	1	0	646	0	328	0	0	0	0	30	0
asv98	135	46	5	0	19	11	1054	0	12	8	36	2	316	6	176	121	15	173	0	0	1147	1	0	14	0	545	0	6	0	0	50	0
asv99	322	16	91	0	163	10	216	0	173	271	237	250	70	648	17	19	359	242	133	0	38	82	0	0	0	36	0	445	0	0	41	0
asv100	146	8	58	0	207	5	133	0	142	385	198	78	36	1169	13	0	504	179	64	0	34	46	0	30	0	33	0	352	0	0	44	0
asv101	6	255	13	0	20	503	232	0	0	0	0	0	286	0	125	963	8	228	0	0	395	0	0	478	0	287	0	0	0	0	23	0
asv102	0	73	0	1	1	16	515	0	3	9	4	0	8	4	103	0	10	35	0	0	325	0	0	2329	0	353	0	0	0	0	24	0
asv103	290	29	0	0	50	25	1646	0	11	32	16	56	160	163	33	28	61	924	14	0	120	1	0	0	0	76	0	53	0	0	15	0
asv104	298	13	39	0	25	23	590	0	105	268	183	141	88	829	9	48	139	506	27	0	39	43	0	2	0	49	0	294	0	0	11	0
asv105	257	8	70	0	92	2	232	0	112	258	208	181	50	923	13	7	285	274	115	1	51	48	0	0	0	20	0	429	0	0	52	0
asv106	296	25	81	0	174	19	754	0	96	42	66	194	214	244	45	125	64	750	73	0	42	34	0	1	0	55	0	113	0	0	19	0
